mixed_sound_id,true_band_score,true_mfcc_score,null_band_mean_L1,null_mfcc_mean_L1,null_band_std_L1,null_mfcc_std_L1,null_band_mean_L2,null_mfcc_mean_L2,null_band_std_L2,null_mfcc_std_L2,null_band_mean_L3,null_mfcc_mean_L3,null_band_std_L3,null_mfcc_std_L3
M0036,-0.7972818199366384,-75.49407958984375,-0.39846719674572084,-77.18375549316406,0.2148611864717834,19.498137247326344,-0.3266866831431935,-75.36645202636718,0.26368962694716425,13.37378166766015,-0.7364352791937809,-77.16402206420898,0.29538981317883595,10.324502658379409
M0037,-0.05745332618150592,-79.66447448730469,-0.34905795621883173,-56.279335021972656,0.30168137474836504,24.304639056170465,-0.0694365872167169,-100.32163543701172,0.023757645985371285,7.309178393853086,-0.37862459385581043,-58.10105514526367,0.3018222734130897,16.31190088450871
M0038,-0.18533239574993576,-42.13406753540039,-0.28507371722678954,-78.25259933471679,0.2002037934233022,27.75968770462817,-0.19557288019769534,-44.53659896850586,0.05618552271266314,2.4686581498024056,-0.5892868589214175,-77.49159545898438,0.3382162471930899,26.5743308770624
M0039,-0.2826388306686193,-70.40052795410156,-0.5245925521416217,-64.00701293945312,0.27604708914535586,24.290530236649538,-0.22228977317784185,-61.794837951660156,0.14716356904845967,11.117904856237763,-0.2890583759868206,-64.57678146362305,0.15826662011928175,6.6094570747359205
M0040,-0.757530221051586,-34.639583587646484,-0.23678492117325622,-45.30404853820801,0.18612733850885335,9.099784033928364,-0.25291136209285564,-32.512546157836915,0.17622597677357277,7.865643471044239,-0.18613503748430932,-45.016781616210935,0.21968389292693297,23.56112675919765
M0041,-0.42531232039358746,-93.56305694580078,-0.3897520030481417,-97.44776229858398,0.24630046530664562,21.34361384130575,-0.22960065484546338,-86.9037857055664,0.11093664370205751,22.683188048058728,-0.33412189086107075,-91.04746551513672,0.16531512610121385,32.01961609726761
M0042,-1.6677100275599381,-79.49984741210938,-1.2110096443919,-78.03450241088868,0.35120069365505213,17.87012253115342,-1.3363682329787032,-63.01502227783203,0.22057507787961814,9.298377934591294,-1.4579617658777853,-57.692396545410155,0.22531067580273914,5.327228907913882
M0043,-0.9774581383955493,-122.72462463378906,-0.49323375471140063,-67.10920867919921,0.2368470051996621,12.323498070422556,-0.9686872050401956,-100.33465118408203,0.05117055523799692,10.706289889814665,-0.5258481075054708,-95.22058715820313,0.37770485957213645,6.644904535614099
M0044,-0.32069643970760076,-119.90145874023438,-0.19869524204107664,-87.83624801635742,0.12994980076783777,21.04900391460431,-0.2311072502091723,-95.96604537963867,0.16399634021009996,26.26494637407675,-0.29311064241757434,-102.68641815185546,0.1196384659167893,20.48581681862511
M0045,-0.602218212576869,-24.110687255859375,-0.2719208675275832,-56.397705078125,0.18301052647701388,10.913647966177905,-0.49703362704789666,-29.264885711669923,0.05119603564444385,6.368582746594227,-0.6339423150598475,-49.822212600708006,0.12587275685753227,20.76096347501117
M0046,-0.4551904585971482,-66.89788818359375,-0.3329532768946462,-80.05043258666993,0.2823630959647673,35.17972138144597,-0.31433311428432253,-58.77688140869141,0.1436055874926785,0.08174347497819297,-0.35204877378320715,-74.53746337890625,0.16864993080654073,19.33337715603169
M0047,-0.35706689442019646,-41.89947509765625,-0.5312559656833005,-54.56514472961426,0.3512006936550521,35.8085797043975,-0.4777745593417695,-50.0693962097168,0.2229699369235594,3.4892124854651154,-0.18885721360406058,-58.7445686340332,0.18801039095278654,16.85833409206708
M0048,-0.2675561942924311,-98.79230499267578,-0.15726438600076384,-40.02031135559082,0.11154164474367483,23.310975328462927,-0.37423639232458417,-63.900885009765624,0.09581338206742233,20.25817294136791,-0.26238485474110246,-47.22021713256836,0.14269601425776623,5.12994533925706
M0049,-0.9492954570071366,-40.34824752807617,-1.4565031805585966,-103.77645721435547,0.15877430579636675,31.599304092068024,-1.0498749007076364,-58.21554794311523,0.287190907648564,13.209494698281212,-1.0557496039226795,-57.06889343261719,0.23208352045187183,5.316833486412058
M0050,-0.15509907635813924,-64.67251586914062,-0.5399938941947792,-94.94938583374024,0.15916622965545646,29.122960198350455,-0.4923702543412046,-79.26713256835937,0.17571231092921413,5.0111469306546015,-0.3351030808449222,-64.74544067382813,0.32153295516537267,11.614316436330617
M0051,-0.09438979450046459,-108.62872314453125,-0.44023666783947346,-52.98395462036133,0.3094629081005653,11.61111065325699,-0.420299482849048,-75.49087600708008,0.13669240857629122,10.568069632965187,-0.41914415578835823,-64.0630859375,0.1914937174426644,10.85481569494411
M0052,-0.08790073506878826,-73.38392639160156,-0.23594110069971838,-81.221337890625,0.20196253492774738,15.27426077209783,-0.49412936187082757,-63.413456726074216,0.15063382636804654,12.249972599404678,-0.4457490295668413,-72.41054611206054,0.2391376408792482,13.963821407133672
M0053,-1.179224113973583,-177.5838623046875,-0.6839499355078547,-106.0198989868164,0.16092584499795418,17.06119378612066,-1.077449637441856,-162.5422821044922,0.05233220384211743,11.889641605759055,-0.9212910299241857,-144.27666473388672,0.22825795072317184,17.903171694552054
M0054,-1.2342488726944798,-97.0731430053711,-1.2769286828981485,-68.95337677001953,0.4298099648257598,16.786375183075616,-1.4616084020692093,-115.01284637451172,0.25561711922593183,8.441924938420684,-1.3976168422831274,-104.10387573242187,0.3087986009804934,13.792875176485296
M0055,-0.3087821282295251,-86.50764465332031,-0.4729556225811212,-108.6417022705078,0.22809750054445113,23.862492268620247,-0.3510145034762801,-105.78655853271485,0.13300592772263597,12.585488474647208,-0.36271533077564805,-113.44345397949219,0.11601335148405477,12.776893127099594
M0056,-0.08824750108146118,-63.95590591430664,-0.17334516350493517,-52.44296150207519,0.12302615467634387,17.055077943594974,-0.23676320568769915,-62.39452209472656,0.10160290436860772,5.4605932034182025,-0.32841489089711623,-59.16839065551758,0.12849840124824227,11.812811672505976
M0057,-0.6347886046984187,-159.70497131347656,-0.38868581703786703,-48.19569206237793,0.17954014834395202,19.941494153022887,-0.6472491355658292,-106.9822509765625,0.38628063156761866,25.68600707053899,-0.5077425986265643,-83.39121856689454,0.22531067580273917,16.50666729785528
M0058,-0.997842873654154,-79.4384536743164,-0.8624102615105802,-95.63423919677734,0.4807847651713801,26.753636470171212,-0.5282876861200945,-66.08498077392578,0.1386405418845977,16.088695041526844,-0.6622896663323184,-82.80110931396484,0.3055180981914462,10.508398589236764
M0059,-0.03520571816285104,-40.388545989990234,-0.44088513842060584,-62.20470275878906,0.45643213763495644,30.684844453490452,-0.3923606840177286,-53.67089080810547,0.3446298967737038,21.343253075023963,-0.3764295760787502,-44.43626708984375,0.30192885683021237,5.512477843641905
M0060,-0.6052165244409797,-58.192481994628906,-0.5447298703222048,-66.36914901733398,0.40422277052838357,20.980473515927706,-0.46222681846393543,-54.51807861328125,0.1638717691088972,4.951586580133298,-0.7795876017706511,-60.781454467773436,0.3502794084034863,3.5177797911281656
M0061,-0.571975772380081,-88.54756927490234,-0.5674223623660383,-51.15141067504883,0.3512006936550521,26.4300790765711,-0.5779944978590094,-90.51590270996094,0.05233220384211746,7.129848916552902,-0.8341048945010574,-115.77656707763671,0.21455908525938744,28.760220096298063
M0062,-0.0513746678278587,-50.9885139465332,-0.5918846127879144,-59.192613220214845,0.21486118647178337,17.539588382084535,-0.7294602486338763,-57.023809814453124,0.17618207538864555,6.304029641443047,-0.312628123975247,-56.01063079833985,0.2051327712702095,12.589681643583907
M0063,-1.119863655668283,-91.10238647460938,-0.2924805511006846,-58.841583251953125,0.11455367649361449,21.95277415370148,-0.4310598140534442,-90.58825378417968,0.25213406872906474,9.911402145147662,-0.31898630355027613,-77.62466583251953,0.21927068901528832,8.497814573617326
